filename,label,good_hits,bad_hits,good_terms_found,bad_terms_found
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/18436190.pdf,PUBLIC-RELATIONS,8,0,"communication, lead, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/14611516.pdf,PUBLIC-RELATIONS,1,0,python,
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/27000192.pdf,PUBLIC-RELATIONS,13,0,"communication, expert, lead, leadership, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/28831442.pdf,PUBLIC-RELATIONS,5,0,"leadership, r",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/14966165.pdf,PUBLIC-RELATIONS,6,0,"delivered, implemented, leadership, teamwork",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/37087371.pdf,PUBLIC-RELATIONS,12,0,"communication, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/12920612.pdf,PUBLIC-RELATIONS,7,0,"communication, designed, implemented, lead, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/21386255.pdf,PUBLIC-RELATIONS,7,0,"implemented, lead, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/11902276.pdf,PUBLIC-RELATIONS,15,0,"achieved, communication, implemented, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/24590489.pdf,PUBLIC-RELATIONS,10,0,"communication, expert, implemented, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/13915715.pdf,PUBLIC-RELATIONS,3,2,"expert, leadership, manager","hardworking, ms word"
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/23602130.pdf,PUBLIC-RELATIONS,3,0,"designed, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/14128006.pdf,PUBLIC-RELATIONS,2,0,"communication, manager",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/88651471.pdf,PUBLIC-RELATIONS,17,0,"communication, designed, implemented, lead, leadership, manager, pmp, problem solving, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/38056161.pdf,PUBLIC-RELATIONS,13,0,"communication, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/28975482.pdf,PUBLIC-RELATIONS,15,0,"communication, designed, implemented, manager, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/85766635.pdf,PUBLIC-RELATIONS,10,1,"communication, leadership, manager",entry-level
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/19072267.pdf,PUBLIC-RELATIONS,24,0,"communication, expert, leadership, manager, r, senior, statistics",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/10926726.pdf,PUBLIC-RELATIONS,2,0,"communication, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/91197243.pdf,PUBLIC-RELATIONS,13,0,"achieved, implemented, lead, leadership, manager, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/29525715.pdf,PUBLIC-RELATIONS,20,0,"communication, designed, implemented, lead, leadership, problem solving",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/27257013.pdf,PUBLIC-RELATIONS,24,0,"communication, implemented, lead, leadership, manager, problem solving, r",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/26130673.pdf,PUBLIC-RELATIONS,8,0,"communication, leadership",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/25070914.pdf,PUBLIC-RELATIONS,8,0,"designed, implemented, lead, leadership, r, senior",
/home/droski/Desktop/School/Fall25/Capstone/data/PUBLIC-RELATIONS/98086373.pdf,PUBLIC-RELATIONS,4,0,"5+ years, leadership, manager",
